#1:k1	2:k2	3:kx	4:ky	5:erg1	6:erg2	7:...
0.126933	3.80799	3.80799	-2.34511	-1.30862	-0.262362	1.57098
0.126933	3.87146	3.87146	-2.38176	-1.35366	-0.3224	1.67606
0.126933	3.93492	3.93492	-2.4184	-1.40172	-0.38724	1.78896
0.126933	3.99839	3.99839	-2.45504	-1.45261	-0.456553	1.90916
0.126933	4.06186	4.06186	-2.49168	-1.50612	-0.529986	2.03611
0.126933	4.12532	4.12532	-2.52833	-1.56204	-0.607172	2.16922
0.126933	4.18879	4.18879	-2.56497	-1.62016	-0.687731	2.30789
0.126933	4.25226	4.25226	-2.60161	-1.68022	-0.771274	2.4515
0.126933	4.31572	4.31572	-2.63825	-1.742	-0.857408	2.59941
0.126933	4.37919	4.37919	-2.6749	-1.80525	-0.945733	2.75099
0.126933	4.44266	4.44266	-2.71154	-1.86972	-1.03585	2.90556
0.126933	4.50612	4.50612	-2.74818	-1.93514	-1.12734	3.06248
0.126933	4.56959	4.56959	-2.78482	-2.00125	-1.21981	3.22107
0.126933	4.63306	4.63306	-2.82147	-2.0678	-1.31285	3.38066
0.126933	4.69652	4.69652	-2.85811	-2.13452	-1.40606	3.54058
0.126933	4.75999	4.75999	-2.89475	-2.20115	-1.49901	3.70016
0.126933	4.82346	4.82346	-2.93139	-2.26742	-1.59133	3.85875
0.126933	4.88692	4.88692	-2.96804	-2.33307	-1.6826	4.01567
0.126933	4.95039	4.95039	-3.00468	-2.39784	-1.77245	4.17029
0.126933	5.01385	5.01385	-3.04132	-2.46148	-1.86048	4.32196
0.126933	5.07732	5.07732	-3.07796	-2.52373	-1.94634	4.47007
0.126933	5.14079	5.14079	-3.1146	-2.58435	-2.02964	4.614
0.126933	5.20425	5.20425	-3.15125	-2.6431	-2.11006	4.75316
0.126933	5.26772	5.26772	-3.18789	-2.69974	-2.18725	4.88699
0.126933	5.33119	5.33119	-3.22453	-2.75403	-2.2609	5.01493
0.126933	5.39465	5.39465	-3.26117	-2.80575	-2.33072	5.13647
0.126933	5.45812	5.45812	-3.29782	-2.85469	-2.39642	5.25111
0.126933	5.52159	5.52159	-3.33446	-2.90064	-2.45774	5.35838
0.126933	5.58505	5.58505	-3.3711	-2.94338	-2.51447	5.45784
0.126933	5.64852	5.64852	-3.40774	-2.98273	-2.56637	5.5491
0.126933	5.71199	5.71199	-3.44439	-3.0185	-2.61327	5.63177
0.126933	5.77545	5.77545	-3.48103	-3.05052	-2.65501	5.70553
0.126933	5.83892	5.83892	-3.51767	-3.07862	-2.69145	5.77007
0.126933	5.90239	5.90239	-3.55431	-3.10267	-2.72246	5.82513
0.126933	5.96585	5.96585	-3.59096	-3.12253	-2.74796	5.87049
0.126933	6.02932	6.02932	-3.6276	-3.1381	-2.76787	5.90596
0.126933	6.09279	6.09279	-3.66424	-3.14928	-2.78212	5.9314
0.126933	6.15625	6.15625	-3.70088	-3.15601	-2.79069	5.94671
0.126933	6.21972	6.21972	-3.73753	-3.15826	-2.79355	5.95182
0.126933	6.28319	6.28319	-3.77417	-3.15601	-2.79069	5.94671

0.1904	0	0	-0.219854	-3.1453	-2.77595	5.92126
0.1904	0.0634665	0.0634665	-0.256497	-3.13616	-2.76475	5.90091
0.1904	0.126933	0.126933	-0.293139	-3.12253	-2.74796	5.87049
0.1904	0.1904	0.1904	-0.329782	-3.1045	-2.72562	5.83013
0.1904	0.253866	0.253866	-0.366424	-3.0822	-2.69779	5.77998
0.1904	0.317333	0.317333	-0.403067	-3.05575	-2.66451	5.72026
0.1904	0.380799	0.380799	-0.439709	-3.02533	-2.62587	5.6512
0.1904	0.444266	0.444266	-0.476351	-2.99112	-2.58197	5.57308
0.1904	0.507732	0.507732	-0.512994	-2.9533	-2.53293	5.48623
0.1904	0.571199	0.571199	-0.549636	-2.91208	-2.47891	5.39099
0.1904	0.634665	0.634665	-0.586279	-2.86768	-2.42008	5.28776
0.1904	0.698132	0.698132	-0.622921	-2.8203	-2.35666	5.17696
0.1904	0.761598	0.761598	-0.659563	-2.77017	-2.28886	5.05903
0.1904	0.825065	0.825065	-0.696206	-2.7175	-2.21696	4.93446
0.1904	0.888531	0.888531	-0.732848	-2.66253	-2.14122	4.80375
0.1904	0.951998	0.951998	-0.769491	-2.60548	-2.06197	4.66745
0.1904	1.01546	1.01546	-0.806133	-2.54658	-1.97952	4.52611
0.1904	1.07893	1.07893	-0.842775	-2.48607	-1.89423	4.3803
0.1904	1.1424	1.1424	-0.879418	-2.42419	-1.80644	4.23063
0.1904	1.20586	1.20586	-0.91606	-2.36117	-1.71655	4.07772
0.1904	1.26933	1.26933	-0.952703	-2.29727	-1.62492	3.92218
0.1904	1.3328	1.3328	-0.989345	-2.23272	-1.53195	3.76467
0.1904	1.39626	1.39626	-1.02599	-2.16779	-1.43806	3.60584
0.1904	1.45973	1.45973	-1.06263	-2.10272	-1.34363	3.44635
0.1904	1.5232	1.5232	-1.09927	-2.03777	-1.2491	3.28686
0.1904	1.58666	1.58666	-1.13591	-1.97319	-1.15486	3.12804
0.1904	1.65013	1.65013	-1.17256	-1.90923	-1.06133	2.97056
0.1904	1.7136	1.7136	-1.2092	-1.84616	-0.968928	2.81509
0.1904	1.77706	1.77706	-1.24584	-1.78422	-0.878063	2.66229
0.1904	1.84053	1.84053	-1.28248	-1.72366	-0.789145	2.51281
0.1904	1.904	1.904	-1.31913	-1.66472	-0.702578	2.3673
0.1904	1.96746	1.96746	-1.35577	-1.60764	-0.618762	2.2264
0.1904	2.03093	2.03093	-1.39241	-1.55265	-0.538089	2.09073
0.1904	2.0944	2.0944	-1.42905	-1.49996	-0.460945	1.96091
0.1904	2.15786	2.15786	-1.4657	-1.44979	-0.387706	1.8375
0.1904	2.22133	2.22133	-1.50234	-1.40234	-0.318733	1.72108
0.1904	2.28479	2.28479	-1.53898	-1.35779	-0.254372	1.61217
0.1904	2.34826	2.34826	-1.57562	-1.31632	-0.194946	1.51126
0.1904	2.41173	2.41173	-1.61227	-1.27806	-0.140744	1.41881
0.1904	2.47519	2.47519	-1.64891	-1.24316	-0.0920098	1.33517
0.1904	2.53866	2.53866	-1.68555	-1.21173	-0.0489255	1.26066
0.1904	2.60213	2.60213	-1.72219	-1.18386	-0.0115914	1.19545
0.1904	2.66559	2.66559	-1.75884	-1.15962	0.0199933	1.13963
0.1904	2.72906	2.72906	-1.79548	-1.13906	0.0459422	1.09312
0.1904	2.79253	2.79253	-1.83212	-1.12222	0.0664801	1.05574
0.1904	2.85599	2.85599	-1.86876	-1.10912	0.0819183	1.0272
0.1904	2.91946	2.91946	-1.90541	-1.09975	0.0926063	1.00715
0.1904	2.98293	2.98293	-1.94205	-1.09414	0.0988662	0.99527
0.1904	3.04639	3.04639	-1.97869	-1.09226	0.100925	0.991339
0.1904	3.10986	3.10986	-2.01533	-1.09414	0.0988662	0.99527
0.1904	3.17333	3.17333	-2.05198	-1.09975	0.0926063	1.00715
0.1904	3.23679	3.23679	-2.08862	-1.10912	0.0819183	1.0272
0.1904	3.30026	3.30026	-2.12526	-1.12222	0.0664801	1.05574
0.1904	3.36373	3.36373	-2.1619	-1.13906	0.0459422	1.09312
0.1904	3.42719	3.42719	-2.19854	-1.15962	0.0199933	1.13963
0.1904	3.49066	3.49066	-2.23519	-1.18386	-0.0115914	1.19545
0.1904	3.55413	3.55413	-2.27183	-1.21173	-0.0489255	1.26066
0.1904	3.61759	3.61759	-2.30847	-1.24316	-0.0920098	1.33517
0.1904	3.68106	3.68106	-2.34511	-1.27806	-0.140744	1.41881
0.1904	3.74452	3.74452	-2.38176	-1.31632	-0.194946	1.51126
0.1904	3.80799	3.80799	-2.4184	-1.35779	-0.254372	1.61217
0.1904	3.87146	3.87146	-2.45504	-1.40234	-0.318733	1.72108
0.1904	3.93492	3.93492	-2.49168	-1.44979	-0.387706	1.8375
0.1904	3.99839	3.99839	-2.52833	-1.49996	-0.460945	1.96091
0.1904	4.06186	4.06186	-2.56497	-1.55265	-0.538089	2.09073
0.1904	4.12532	4.12532	-2.60161	-1.60764	-0.618762	2.2264
0.1904	4.18879	4.18879	-2.63825	-1.66472	-0.702578	2.3673
0.1904	4.25226	4.25226	-2.6749	-1.72366	-0.789145	2.51281
