#1:t	2:m	3:gap1	4:kx_itr1	5:gap2	6:kx_itr2	7:...
0.28	0.21	0.00879153	4	1.94285	5	
0.282	0.21	0.000614316	4	1.93773	5	
0.284	0.21	0.0100194	4	1.93262	5	
0.286	0.21	0.0194236	3	1.92752	5	
0.288	0.21	0.028827	3	1.92241	5	

0.24	0.22	0.0600386	4	2.07101	4	
0.242	0.22	0.0506335	3	2.06574	4	
0.244	0.22	0.0412292	3	2.06048	4	
0.246	0.22	0.0318256	3	2.04552	5	
0.248	0.22	0.0224228	4	2.04031	5	
0.25	0.22	0.0130209	4	2.03511	5	
0.252	0.22	0.0036197	4	2.02991	5	
0.254	0.22	0.00578061	4	2.02471	5	
0.256	0.22	0.01518	3	2.01953	5	
0.258	0.22	0.0245786	3	2.01434	5	
0.26	0.22	0.0339762	3	2.00917	5	
0.262	0.22	0.0433729	3	2.004	5	
0.264	0.22	0.0292989	3	1.99883	5	
0.266	0.22	0.0200611	4	1.99367	5	
0.268	0.22	0.0108269	4	1.98852	5	
0.27	0.22	0.00159623	4	1.98337	5	
0.272	0.22	0.00763079	3	1.97823	5	
0.274	0.22	0.0168541	3	1.97309	5	
0.276	0.22	0.0260735	4	1.96796	5	
0.278	0.22	0.0212966	4	1.96283	5	
0.28	0.22	0.0118954	4	1.95771	5	
0.282	0.22	0.00249494	4	1.9526	5	
0.284	0.22	0.00690462	4	1.94749	5	
0.286	0.22	0.0163033	4	1.94239	5	
0.288	0.22	0.0257011	4	1.93729	5	

0.24	0.23	0.0566231	3	2.07595	5	
0.242	0.23	0.0472238	3	2.07073	5	
0.244	0.23	0.0378253	3	2.06551	5	
