#1:k	2:erg1	3:erg2	4:erg3
6.01876	-2.51007	-0.261352	2.51007

6.03135	-2.51336	-0.249178	2.51336

6.04395	-2.51649	-0.236964	2.51649

6.05654	-2.51946	-0.224712	2.51946

6.06913	-2.52227	-0.212425	2.52227

6.08172	-2.52492	-0.200105	2.52492

6.09431	-2.52742	-0.187752	2.52742

6.1069	-2.52975	-0.17537	2.52975

6.1195	-2.53193	-0.16296	2.53193

6.13209	-2.53395	-0.150524	2.53395

6.14468	-2.5358	-0.138065	2.5358

6.15727	-2.5375	-0.125583	2.5375

6.16986	-2.53903	-0.113082	2.53903

6.18245	-2.54041	-0.100562	2.54041

6.19504	-2.54162	-0.0880268	2.54162

6.20764	-2.54267	-0.0754775	2.54267

6.22023	-2.54356	-0.0629162	2.54356

6.23282	-2.54429	-0.0503449	2.54429

6.24541	-2.54486	-0.0377657	2.54486

6.258	-2.54526	-0.0251804	2.54526

6.27059	-2.5455	-0.0125912	2.5455

6.28319	-2.54558	-1.10502e-15	2.54558

