#1:t	2:m	3:min_gap
1.7	0.4	0.683466
1.72	0.4	0.717158
1.74	0.4	0.750729
1.76	0.4	0.78418
1.78	0.4	0.817515
1.8	0.4	0.850735
1.82	0.4	0.883843
1.84	0.4	0.91684
1.86	0.4	0.949728
1.88	0.4	0.98251
1.9	0.4	1.01519
1.92	0.4	1.04776
1.94	0.4	1.08024
1.96	0.4	1.11261
1.98	0.4	1.14489
2	0.4	1.17707
2.02	0.4	1.20916
2.04	0.4	1.24116
2.06	0.4	1.27307
2.08	0.4	1.30489
2.1	0.4	1.33662
2.12	0.4	1.36827
2.14	0.4	1.39983
2.16	0.4	1.43131
2.18	0.4	1.46271
2.2	0.4	1.47112
2.22	0.4	1.44574
2.24	0.4	1.42036
2.26	0.4	1.39498
2.28	0.4	1.3696
2.3	0.4	1.34422
2.32	0.4	1.31885
2.34	0.4	1.29347
2.36	0.4	1.2681
2.38	0.4	1.24273
2.4	0.4	1.21735
2.42	0.4	1.19198
2.44	0.4	1.16662
2.46	0.4	1.14125
2.48	0.4	1.11588
2.5	0.4	1.09052
2.52	0.4	1.06516
2.54	0.4	1.0398
2.56	0.4	1.01445
2.58	0.4	0.989091
2.6	0.4	0.96374
2.62	0.4	0.938392
2.64	0.4	0.913047
2.66	0.4	0.887705
2.68	0.4	0.862368
2.7	0.4	0.837034
2.72	0.4	0.811705
2.74	0.4	0.786381
2.76	0.4	0.761062
2.78	0.4	0.735749
2.8	0.4	0.710443
2.82	0.4	0.685144
2.84	0.4	0.659853
2.86	0.4	0.634572
2.88	0.4	0.609301
2.9	0.4	0.584041
2.92	0.4	0.558795
2.94	0.4	0.533564
2.96	0.4	0.50835
2.98	0.4	0.483156
3	0.4	0.457985
3.02	0.4	0.432746
3.04	0.4	0.407393
3.06	0.4	0.382044
3.08	0.4	0.3567
3.1	0.4	0.331363
3.12	0.4	0.306033
3.14	0.4	0.280712
3.16	0.4	0.255405
3.18	0.4	0.230113
3.2	0.4	0.204845
3.22	0.4	0.17961
3.24	0.4	0.154423
3.26	0.4	0.129313
3.28	0.4	0.104335
3.3	0.4	0.0796137
3.32	0.4	0.0554939
3.34	0.4	0.0333082
3.36	0.4	0.0206859
3.38	0.4	0.0321711
3.4	0.4	0.0541355
3.42	0.4	0.0781979
3.44	0.4	0.102897
3.46	0.4	0.127864
3.48	0.4	0.152968
3.5	0.4	0.178151
3.52	0.4	0.203384
3.54	0.4	0.228649
3.56	0.4	0.208242
3.58	0.4	0.182871
3.6	0.4	0.157501
3.62	0.4	0.132135
3.64	0.4	0.106775
3.66	0.4	0.0814284
3.68	0.4	0.0561117
3.7	0.4	0.0309014
3.72	0.4	0.00705481
3.74	0.4	0.0208138
3.76	0.4	0.0458835
3.78	0.4	0.0711764
3.8	0.4	0.0965175
3.82	0.4	0.121877
3.84	0.4	0.147246
3.86	0.4	0.172619
3.88	0.4	0.197997
3.9	0.4	0.223376
3.92	0.4	0.236616
3.94	0.4	0.211406
3.96	0.4	0.186241
3.98	0.4	0.161145

0	0.5	1.06822
0.02	0.5	0.975333
0.04	0.5	0.882465
0.06	0.5	0.789622
0.08	0.5	0.696817
0.1	0.5	0.60407
0.12	0.5	0.511413
0.14	0.5	0.418845
0.16	0.5	0.326371
0.18	0.5	0.234135
0.2	0.5	0.142094
0.22	0.5	0.0503687
0.24	0.5	0.0415792
0.26	0.5	0.0909827
0.28	0.5	0.00920006
0.3	0.5	0.00697003
0.32	0.5	0.084505
0.34	0.5	0.174754
0.36	0.5	0.264439
0.38	0.5	0.345271
0.4	0.5	0.391072
0.42	0.5	0.418478
0.44	0.5	0.421738
0.46	0.5	0.401927
0.48	0.5	0.36789
0.5	0.5	0.327136
0.52	0.5	0.283357
0.54	0.5	0.238154
0.56	0.5	0.192355
0.58	0.5	0.146222
0.6	0.5	0.100207
0.62	0.5	0.0543157
0.64	0.5	0.00852674
0.66	0.5	0.0372379
0.68	0.5	0.082405
0.7	0.5	0.127177
0.72	0.5	0.17172
0.74	0.5	0.216039
0.76	0.5	0.259776
0.78	0.5	0.303305
0.8	0.5	0.276841
0.82	0.5	0.23681
0.84	0.5	0.198425
0.86	0.5	0.16211
0.88	0.5	0.128421
0.9	0.5	0.0982062
0.92	0.5	0.0725944
0.94	0.5	0.0529425
0.96	0.5	0.0392345
0.98	0.5	0.00509676
1	0.5	0.0338823
1.02	0.5	0.0334802
1.04	0.5	0.0296126
1.06	0.5	0.0202879
1.08	0.5	0.00558757
1.1	0.5	0.0137029
1.12	0.5	0.0363259
1.14	0.5	0.0613331
1.16	0.5	0.0881577
1.18	0.5	0.116277
1.2	0.5	0.14536
1.22	0.5	0.175152
1.24	0.5	0.205473
1.26	0.5	0.236171
1.28	0.5	0.203337
