#1:t	2:m	3:min_gap
-0.1	-1.3	0.0677118
-0.08	-1.3	0.149177
-0.06	-1.3	0.231174
-0.04	-1.3	0.313457
-0.02	-1.3	0.395956
8.88178e-16	-1.3	0.478576
0.02	-1.3	0.395956
0.04	-1.3	0.313457
0.06	-1.3	0.231174
0.08	-1.3	0.149177
0.1	-1.3	0.0677118
0.12	-1.3	0.0133232
0.14	-1.3	0.0928149
0.16	-1.3	0.171038
0.18	-1.3	0.247051
0.2	-1.3	0.319602
0.22	-1.3	0.386308
0.24	-1.3	0.440443
0.26	-1.3	0.430519
0.28	-1.3	0.3513
0.3	-1.3	0.273436
0.32	-1.3	0.197396
0.34	-1.3	0.123405
0.36	-1.3	0.052071
0.38	-1.3	0.0165561
0.4	-1.3	0.0807871
0.42	-1.3	0.140472
0.44	-1.3	0.194673
0.46	-1.3	0.242021
0.48	-1.3	0.281624
0.5	-1.3	0.31249
0.52	-1.3	0.334217
0.54	-1.3	0.346799
0.56	-1.3	0.350942
0.58	-1.3	0.347687
0.6	-1.3	0.338068
0.62	-1.3	0.323346
0.64	-1.3	0.304551
0.66	-1.3	0.282317
0.68	-1.3	0.257564
0.7	-1.3	0.230625
0.72	-1.3	0.201935
0.74	-1.3	0.171978
0.76	-1.3	0.140934
0.78	-1.3	0.109113
0.8	-1.3	0.0766562
0.82	-1.3	0.0437266
0.84	-1.3	0.00980024
0.86	-1.3	0.0243042
0.88	-1.3	0.0585344
0.9	-1.3	0.092978
0.92	-1.3	0.127673
0.94	-1.3	0.162658
0.96	-1.3	0.197225
0.98	-1.3	0.22349

-1	-1.2	0.191478
-0.98	-1.2	0.191245
-0.96	-1.2	0.157988
-0.94	-1.2	0.122718
-0.92	-1.2	0.0874129
-0.9	-1.2	0.0517091
-0.88	-1.2	0.0163111
-0.86	-1.2	0.0189367
-0.84	-1.2	0.0538866
-0.82	-1.2	0.0886872
-0.8	-1.2	0.122823
-0.78	-1.2	0.156456
-0.76	-1.2	0.189555
-0.74	-1.2	0.221911
-0.72	-1.2	0.253237
-0.7	-1.2	0.283438
-0.68	-1.2	0.311883
-0.66	-1.2	0.338326
-0.64	-1.2	0.362233
-0.62	-1.2	0.382778
-0.6	-1.2	0.399174
-0.58	-1.2	0.410217
-0.56	-1.2	0.414586
-0.54	-1.2	0.410898
-0.52	-1.2	0.397976
-0.5	-1.2	0.375009
-0.48	-1.2	0.342028
-0.46	-1.2	0.299754
-0.44	-1.2	0.249256
-0.42	-1.2	0.191961
-0.4	-1.2	0.129095
-0.38	-1.2	0.0616395
-0.36	-1.2	0.00995138
-0.34	-1.2	0.0836123
-0.32	-1.2	0.160083
-0.3	-1.2	0.238404
-0.28	-1.2	0.318385
-0.26	-1.2	0.385298
-0.24	-1.2	0.375197
-0.22	-1.2	0.311771
-0.2	-1.2	0.240364
-0.18	-1.2	0.164609
-0.16	-1.2	0.0862334
-0.14	-1.2	0.00592887
-0.12	-1.2	0.0757692
-0.1	-1.2	0.158112
-0.08	-1.2	0.241169
-0.06	-1.2	0.324609
-0.04	-1.2	0.408369
-0.02	-1.2	0.492286
8.88178e-16	-1.2	0.576285
0.02	-1.2	0.492286
0.04	-1.2	0.408369
0.06	-1.2	0.324609
0.08	-1.2	0.241169
0.1	-1.2	0.158112
0.12	-1.2	0.0757693
0.14	-1.2	0.00592936
0.16	-1.2	0.0862333
0.18	-1.2	0.164609
0.2	-1.2	0.240364
0.22	-1.2	0.311771
0.24	-1.2	0.375197
0.26	-1.2	0.385298
0.28	-1.2	0.318384
0.3	-1.2	0.238405
0.32	-1.2	0.160084
0.34	-1.2	0.0836115
0.36	-1.2	0.00994309
0.38	-1.2	0.061641
0.4	-1.2	0.129096
0.42	-1.2	0.191962
0.44	-1.2	0.249256
0.46	-1.2	0.299753
0.48	-1.2	0.342028
0.5	-1.2	0.37501
0.52	-1.2	0.397976
0.54	-1.2	0.410898
0.56	-1.2	0.414586
0.58	-1.2	0.410216
0.6	-1.2	0.399173
0.62	-1.2	0.382778
0.64	-1.2	0.362233
0.66	-1.2	0.338326
0.68	-1.2	0.311883
0.7	-1.2	0.283439
0.72	-1.2	0.253237
0.74	-1.2	0.221912
0.76	-1.2	0.189556
0.78	-1.2	0.156455
0.8	-1.2	0.122825
0.82	-1.2	0.0886837
0.84	-1.2	0.0538841
0.86	-1.2	0.0189339
0.88	-1.2	0.016306
0.9	-1.2	0.0517047
0.92	-1.2	0.0874073
0.94	-1.2	0.122721
0.96	-1.2	0.157988
0.98	-1.2	0.191245

-1	-1.1	0.161481
-0.98	-1.1	0.157975
-0.96	-1.1	0.121517
-0.94	-1.1	0.0852938
-0.92	-1.1	0.0502158
-0.9	-1.1	0.0142016
-0.88	-1.1	0.0235579
-0.86	-1.1	0.0594363
-0.84	-1.1	0.0952986
-0.82	-1.1	0.130999
-0.8	-1.1	0.166428
-0.78	-1.1	0.201111
-0.76	-1.1	0.235548
-0.74	-1.1	0.269259
-0.72	-1.1	0.301974
-0.7	-1.1	0.33359
-0.68	-1.1	0.36374
-0.66	-1.1	0.392036
-0.64	-1.1	0.417785
-0.62	-1.1	0.440283
-0.6	-1.1	0.458618
-0.58	-1.1	0.471404
-0.56	-1.1	0.477225
-0.54	-1.1	0.474313
-0.52	-1.1	0.461235
-0.5	-1.1	0.437069
-0.48	-1.1	0.401922
-0.46	-1.1	0.356761
-0.44	-1.1	0.303096
-0.42	-1.1	0.242513
-0.4	-1.1	0.17642
-0.38	-1.1	0.10594
-0.36	-1.1	0.032299
-0.34	-1.1	0.0446839
-0.32	-1.1	0.123459
-0.3	-1.1	0.203972
-0.28	-1.1	0.285956
-0.26	-1.1	0.320313
-0.24	-1.1	0.317039
-0.22	-1.1	0.245927
-0.2	-1.1	0.169847
-0.18	-1.1	0.090808
-0.16	-1.1	0.00959854
-0.14	-1.1	0.0729525
-0.12	-1.1	0.156513
-0.1	-1.1	0.240729
-0.08	-1.1	0.32545
-0.06	-1.1	0.410548
-0.04	-1.1	0.49588
-0.02	-1.1	0.581339
8.88178e-16	-1.1	0.666864
0.02	-1.1	0.581339
0.04	-1.1	0.49588
0.06	-1.1	0.410548
0.08	-1.1	0.32545
